id,name,age,income,is_active,signup_date,tier
1,Victoria,56,83345.12,False,2023-08-09,free
2,Christopher,46,69116.65,True,2020-01-24,free
3,Jason,32,60609.63,True,2022-09-04,free
4,Matthew,60,43221.74,True,2024-01-20,bronze
5,Brittany,25,61809.22,False,2024-08-11,silver
6,Rose,38,47201.24,False,2023-09-02,free
7,Christina,56,35206.38,True,2024-02-18,silver
8,Maria,36,53900.76,True,2022-12-17,bronze
9,Charlotte,40,54828.8,True,2023-02-24,gold
10,Rachel,28,75445.75,True,2020-04-24,bronze
11,Christina,28,74602.63,False,2024-05-31,gold
12,Linda,41,70037.94,False,2019-10-16,silver
13,Jacob,53,58682.49,False,2019-07-23,bronze
14,Deborah,57,58888.35,False,2020-04-22,free
15,Jerome,41,68329.96,True,2024-05-01,gold
16,Benjamin,20,69648.93,True,2022-03-15,free
17,Douglas,39,65346.79,True,2024-12-02,silver
18,Debbie,19,67628.42,True,2023-08-26,silver
19,John,41,58982.04,True,2020-04-06,bronze
20,Amanda,61,55767.41,True,2020-06-15,silver
21,John,47,26694.58,True,2019-05-21,free
22,Dale,55,54899.01,True,2024-11-15,free
23,Susan,19,49160.81,True,2024-05-12,silver
24,Nancy,38,61462.17,True,2020-07-03,free
25,James,50,49854.6,True,2023-08-07,gold
26,Julie,29,62059.41,False,2020-06-11,bronze
27,Nicole,39,32030.95,True,2024-08-21,free
28,Bryan,61,45542.9,False,2023-06-02,silver
29,Michael,42,,True,2019-08-31,bronze
30,Gregory,44,44250.95,False,2025-01-22,free
31,John,59,106768.69,True,2024-04-03,bronze
32,Sherry,45,29560.89,True,2022-02-10,silver
33,Jeffrey,33,70131.03,False,2025-02-13,gold
34,Derrick,32,74940.19,True,2022-04-18,free
35,Tina,64,53377.73,True,2019-10-06,silver
36,Isaiah,61,64980.23,True,2023-12-26,free
37,Jeffrey,20,69156.85,False,2023-01-01,free
38,John,54,,True,2021-02-06,gold
39,Adam,24,33516.56,True,2022-10-25,free
40,Catherine,38,66106.67,True,2024-09-03,bronze
41,Anthony,26,74567.09,True,2021-11-03,silver
42,Sierra,56,90954.29,True,2022-11-07,silver
43,Crystal,35,39321.66,True,2025-04-12,silver
44,Tanner,21,57415.51,True,2019-08-02,free
45,Amanda,42,59574.47,True,2024-05-18,silver
46,Patrick,31,,True,2021-12-11,silver
47,Alex,26,34897.88,True,2024-04-15,gold
